face_measurement_id,person_id,image_name,image_path,visibility_label,true_hairline_y,true_y_source,estimated_hairline_y,detected_hairline_y,detected_estimated_difference_ratio,mean_difference_ratio,std_difference_ratio,min_difference_ratio,max_difference_ratio,near_boundary_ratio,mean_skin_ratio
40,86,D:\data\raw_data\20220915_ID0086_C_02_N00052.png,D:\data\raw_data\20220915_ID0086_C_02_N00052.png,visible,282.000000,detected,261.242443,282.000000,0.114929,0.185382,0.060848,0.114929,0.408374,0.000000,0.555762
41,88,D:\data\raw_data\20220915_ID0088_C_02_N00273.png,D:\data\raw_data\20220915_ID0088_C_02_N00273.png,visible,252.000000,detected,259.859734,252.000000,0.042949,0.039932,0.065377,-0.053878,0.208417,0.764505,0.678324
42,91,D:\data\raw_data\20220916_ID0091_C_01_N00045.png,D:\data\raw_data\20220916_ID0091_C_01_N00045.png,covered,,unknown,280.773485,338.000000,0.301560,0.360672,0.052343,0.275212,0.470187,0.000000,0.433926
43,93,D:\data\raw_data\20220916_ID0093_C_02_N00212.png,D:\data\raw_data\20220916_ID0093_C_02_N00212.png,visible,280.000000,detected,251.623779,280.000000,0.149766,0.496658,0.213106,0.086431,0.820055,0.000000,0.335616
44,95,D:\data\raw_data\20220916_ID0095_C_02_N00065.png,D:\data\raw_data\20220916_ID0095_C_02_N00065.png,visible,257.000000,detected,260.137083,257.000000,0.016583,0.035013,0.040606,-0.021869,0.157856,0.875000,0.703146
45,96,D:\data\raw_data\20220919_ID0096_C_02_N00188.png,D:\data\raw_data\20220919_ID0096_C_02_N00188.png,visible,248.000000,detected,230.580197,248.000000,0.088770,0.167523,0.074515,0.083674,0.409813,0.000000,0.573970
46,97,D:\data\raw_data\20220919_ID0097_C_02_N00030.png,D:\data\raw_data\20220919_ID0097_C_02_N00030.png,visible,265.000000,detected,251.086623,265.000000,0.075982,0.312634,0.223829,0.065060,0.698544,0.095541,0.467569
47,98,D:\data\raw_data\20220919_ID0098_C_01_N00164.png,D:\data\raw_data\20220919_ID0098_C_01_N00164.png,visible,272.000000,detected,257.032545,272.000000,0.083940,0.161647,0.069278,0.078332,0.397997,0.052632,0.574278
48,100,D:\data\raw_data\20220919_ID0100_C_02_N00078.png,D:\data\raw_data\20220919_ID0100_C_02_N00078.png,visible,228.000000,detected,264.894418,228.000000,0.217683,-0.092888,0.126481,-0.217683,0.218929,0.281879,0.710875
49,101,D:\data\raw_data\20220919_ID0101_C_02_N00025.png,D:\data\raw_data\20220919_ID0101_C_02_N00025.png,visible,256.000000,detected,261.436377,256.000000,0.028807,0.069731,0.100863,-0.034106,0.320923,0.595870,0.658888
50,104,D:\data\raw_data\20220920_ID0104_C_02_N00063.png,D:\data\raw_data\20220920_ID0104_C_02_N00063.png,covered,,unknown,240.383625,280.000000,0.199782,0.281998,0.078608,0.169525,0.487228,0.000000,0.523083
51,105,D:\data\raw_data\20220920_ID0105_C_02_N00267.png,D:\data\raw_data\20220920_ID0105_C_02_N00267.png,visible,256.000000,detected,261.037032,256.000000,0.028753,0.068798,0.084086,-0.028753,0.319459,0.620462,0.623235
52,107,D:\data\raw_data\20220920_ID0107_C_02_N00015.png,D:\data\raw_data\20220920_ID0107_C_02_N00015.png,visible,294.000000,detected,248.293294,294.000000,0.248735,0.354854,0.087627,0.243293,0.580696,0.000000,0.436526
53,109,D:\data\raw_data\20220920_ID0109_C_02_N00022.png,D:\data\raw_data\20220920_ID0109_C_02_N00022.png,visible,289.000000,detected,280.753730,289.000000,0.045213,0.097993,0.061557,0.034247,0.302907,0.538462,0.654674
54,110,D:\data\raw_data\20220921_ID0110_C_02_N00005.png,D:\data\raw_data\20220921_ID0110_C_02_N00005.png,visible,234.000000,detected,246.030209,234.000000,0.061665,0.031394,0.068357,-0.066791,0.240760,0.800595,0.662528
55,111,D:\data\raw_data\20220921_ID0111_C_02_N00041.png,D:\data\raw_data\20220921_ID0111_C_02_N00041.png,visible,290.000000,detected,271.696859,290.000000,0.103026,0.151280,0.058649,0.097397,0.316924,0.000000,0.584727
56,113,D:\data\raw_data\20220921_ID0113_C_01_N00203.png,D:\data\raw_data\20220921_ID0113_C_01_N00203.png,visible,251.000000,detected,263.970731,251.000000,0.070199,-0.015643,0.055335,-0.070199,0.140873,0.922830,0.727697
57,115,D:\data\raw_data\20220921_ID0115_C_02_N00021.png,D:\data\raw_data\20220921_ID0115_C_02_N00021.png,visible,233.000000,detected,242.604549,233.000000,0.052332,0.057300,0.134441,-0.057781,0.503433,0.705015,0.624137
58,116,D:\data\raw_data\20220921_ID0116_C_02_N00015.png,D:\data\raw_data\20220921_ID0116_C_02_N00015.png,partial,244.000000,detected,253.328458,244.000000,0.050854,0.148564,0.290728,-0.050854,0.957672,0.657343,0.551900
59,118,D:\data\raw_data\20220922_ID0118_C_01_N00014.png,D:\data\raw_data\20220922_ID0118_C_01_N00014.png,visible,302.000000,detected,258.905643,302.000000,0.238059,0.381902,0.120002,0.238059,0.663416,0.000000,0.414300
60,123,D:\data\raw_data\20220922_ID0123_C_02_N00003.png,D:\data\raw_data\20220922_ID0123_C_02_N00003.png,partial,277.000000,detected,277.175101,277.000000,0.000980,0.452628,0.318899,-0.017763,0.821396,0.261168,0.374318
61,126,D:\data\raw_data\20220923_ID0126_C_02_N00001.png,D:\data\raw_data\20220923_ID0126_C_02_N00001.png,partial,267.000000,detected,268.765488,267.000000,0.009532,0.178738,0.291719,-0.009532,0.827282,0.724832,0.588149
62,127,D:\data\raw_data\20220923_ID0127_C_02_N00049.png,D:\data\raw_data\20220923_ID0127_C_02_N00049.png,visible,264.000000,detected,274.550451,264.000000,0.060393,0.153747,0.154157,-0.083290,0.449065,0.376812,0.578994
63,129,D:\data\raw_data\20220923_ID0129_C_01_N00001.png,D:\data\raw_data\20220923_ID0129_C_01_N00001.png,visible,298.000000,detected,287.484902,298.000000,0.060207,0.164923,0.173576,0.054481,0.609879,0.463087,0.582452
64,131,D:\data\raw_data\20220923_ID0131_C_01_N00003.png,D:\data\raw_data\20220923_ID0131_C_01_N00003.png,covered,,unknown,271.484283,311.000000,0.217128,0.310715,0.061561,0.184159,0.420432,0.000000,0.481234
65,1011,D:\data\raw_data\20220924_ID1011_C_01_N00020.png,D:\data\raw_data\20220924_ID1011_C_01_N00020.png,covered,,unknown,264.869733,421.000000,0.886295,0.937573,0.035640,0.835205,0.988474,0.000000,0.029143
66,1024,D:\data\raw_data\20220924_ID1024_C_01_N00005.png,D:\data\raw_data\20220924_ID1024_C_01_N00005.png,visible,300.000000,detected,271.527534,300.000000,0.151600,0.516291,0.244952,0.135626,0.891695,0.000000,0.174708
67,1026,D:\data\raw_data\20220924_ID1026_C_01_N00018.png,D:\data\raw_data\20220924_ID1026_C_01_N00018.png,covered,303.000000,detected,270.375851,303.000000,0.177799,0.322690,0.129664,0.150549,0.728240,0.000000,0.467581
68,1038,D:\data\raw_data\20220925_ID1038_C_01_N00013.png,D:\data\raw_data\20220925_ID1038_C_01_N00013.png,partial,270.000000,manual,247.609996,291.000000,0.224320,0.666449,0.243207,0.105413,0.917081,0.000000,0.196149
69,132,D:\data\raw_data\20220926_ID0132_C_02_N00058.png,D:\data\raw_data\20220926_ID0132_C_02_N00058.png,visible,264.000000,detected,269.788657,264.000000,0.033290,0.130515,0.219470,-0.039041,0.754582,0.622517,0.588648
70,133,D:\data\raw_data\20220926_ID0133_C_01_N00011.png,D:\data\raw_data\20220926_ID0133_C_01_N00011.png,visible,283.000000,detected,283.888979,283.000000,0.005224,0.279911,0.315703,-0.011101,0.905650,0.448980,0.483854
71,134,D:\data\raw_data\20220926_ID0134_C_02_N00103.png,D:\data\raw_data\20220926_ID0134_C_02_N00103.png,partial,267.000000,detected,281.676861,267.000000,0.081850,0.169106,0.163180,-0.098580,0.403332,0.269360,0.585470
72,138,D:\data\raw_data\20220926_ID0138_C_01_N00196.png,D:\data\raw_data\20220926_ID0138_C_01_N00196.png,visible,334.000000,detected,261.741394,334.000000,0.399606,0.631067,0.133333,0.272411,0.830964,0.000000,0.250982
73,139,D:\data\raw_data\20220927_ID0139_C_02_N00006.png,D:\data\raw_data\20220927_ID0139_C_02_N00006.png,partial,280.000000,detected,224.441058,280.000000,0.279338,0.415560,0.116487,0.249171,0.666476,0.000000,0.398148
74,142,D:\data\raw_data\20220927_ID0142_C_02_N00047.png,D:\data\raw_data\20220927_ID0142_C_02_N00047.png,visible,259.000000,detected,270.075332,259.000000,0.061870,0.036005,0.101554,-0.061870,0.362686,0.782759,0.671344
75,143,D:\data\raw_data\20220927_ID0143_C_02_N00006.png,D:\data\raw_data\20220927_ID0143_C_02_N00006.png,covered,,unknown,270.786806,300.000000,0.174172,0.436100,0.143896,0.096665,0.627292,0.000000,0.377119
76,147,D:\data\raw_data\20220928_ID0147_C_02_N00102.png,D:\data\raw_data\20220928_ID0147_C_02_N00102.png,covered,,unknown,251.068851,313.000000,0.323361,0.490209,0.196891,0.323361,0.929033,0.000000,0.323220
77,149,D:\data\raw_data\20220928_ID0149_C_01_N00001.png,D:\data\raw_data\20220928_ID0149_C_01_N00001.png,covered,,unknown,253.791023,327.000000,0.411366,0.544157,0.084660,0.304604,0.692320,0.000000,0.308272
78,152,D:\data\raw_data\20220928_ID0152_C_02_N00006.png,D:\data\raw_data\20220928_ID0152_C_02_N00006.png,visible,251.000000,detected,269.692023,251.000000,0.103493,0.079023,0.195182,-0.109030,0.682727,0.411003,0.647451
79,153,D:\data\raw_data\20220928_ID0153_C_01_N00033.png,D:\data\raw_data\20220928_ID0153_C_01_N00033.png,visible,289.000000,detected,274.846001,289.000000,0.078412,0.179775,0.093745,0.072872,0.416348,0.088339,0.568456
