face_measurement_id,person_id,image_name,image_path,visibility_label,true_hairline_y,true_y_source,estimated_hairline_y,detected_hairline_y,mean_difference_ratio,std_difference_ratio,min_difference_ratio,max_difference_ratio,near_boundary_ratio,mean_skin_ratio
16,30,D:\data\raw_data\20220901_ID0030_C_01_N00002.png,D:\data\raw_data\20220901_ID0030_C_01_N00002.png,visible,272.000000,detected,252.904198,272.000000,0.219720,0.116588,0.050030,0.479057,0.076389,0.629425
17,33,D:\data\raw_data\20220901_ID0033_C_01_N00342.png,D:\data\raw_data\20220901_ID0033_C_01_N00342.png,visible,271.000000,detected,226.338745,271.000000,0.277907,0.062103,0.217569,0.472565,0.000000,0.588444
18,37,D:\data\raw_data\20220902_ID0037_C_02_N00068.png,D:\data\raw_data\20220902_ID0037_C_02_N00068.png,visible,289.000000,detected,232.913681,289.000000,0.286035,0.039427,0.218301,0.355863,0.000000,0.542897
19,38,D:\data\raw_data\20220902_ID0038_C_01_N00103.png,D:\data\raw_data\20220902_ID0038_C_01_N00103.png,partial,242.000000,manual,240.466583,305.000000,0.349332,0.207188,0.026148,0.781724,0.132013,0.535191
20,39,D:\data\raw_data\20220902_ID0039_C_02_N00139.png,D:\data\raw_data\20220902_ID0039_C_02_N00139.png,visible,281.000000,detected,238.304649,281.000000,0.247284,0.028268,0.200257,0.298488,0.000000,0.595915
21,40,D:\data\raw_data\20220905_ID0040_C_02_N00094.png,D:\data\raw_data\20220905_ID0040_C_02_N00094.png,partial,309.000000,manual,255.647156,316.000000,0.473186,0.164185,0.269028,0.982908,0.000000,0.434095
22,43,D:\data\raw_data\20220905_ID0043_C_01_N00012.png,D:\data\raw_data\20220905_ID0043_C_01_N00012.png,visible,272.000000,detected,255.867195,272.000000,0.208281,0.182409,0.051954,0.757352,0.140523,0.648719
23,44,D:\data\raw_data\20220905_ID0044_C_02_N00046.png,D:\data\raw_data\20220905_ID0044_C_02_N00046.png,visible,231.000000,detected,231.590866,231.000000,0.169109,0.203028,-0.078560,0.753807,0.412500,0.619019
24,45,D:\data\raw_data\20220905_ID0045_C_01_N00079.png,D:\data\raw_data\20220905_ID0045_C_01_N00079.png,partial,296.000000,manual,235.764206,320.000000,0.511542,0.125255,0.317685,0.783924,0.000000,0.403387
25,46,D:\data\raw_data\20220905_ID0046_C_01_N00004.png,D:\data\raw_data\20220905_ID0046_C_01_N00004.png,visible,225.000000,detected,228.950241,225.000000,0.057479,0.105906,-0.036077,0.337657,0.665680,0.741221
26,48,D:\data\raw_data\20220906_ID0048_C_01_N00001.png,D:\data\raw_data\20220906_ID0048_C_01_N00001.png,visible,271.000000,detected,238.839890,271.000000,0.325986,0.148567,0.142234,0.691378,0.000000,0.536524
27,49,D:\data\raw_data\20220906_ID0049_C_02_N00068.png,D:\data\raw_data\20220906_ID0049_C_02_N00068.png,visible,268.000000,detected,241.910873,268.000000,0.205020,0.081898,0.118428,0.446695,0.000000,0.653041
28,50,D:\data\raw_data\20220906_ID0050_C_01_N00651.png,D:\data\raw_data\20220906_ID0050_C_01_N00651.png,visible,269.000000,detected,223.397484,269.000000,0.317436,0.071484,0.243564,0.556380,0.000000,0.528172
29,52,D:\data\raw_data\20220906_ID0052_C_01_N00004.png,D:\data\raw_data\20220906_ID0052_C_01_N00004.png,partial,317.000000,manual,264.346207,330.000000,0.531183,0.258256,0.285534,1.077806,0.000000,0.388093
30,55,D:\data\raw_data\20220906_ID0055_C_01_N00008.png,D:\data\raw_data\20220906_ID0055_C_01_N00008.png,visible,277.000000,detected,252.541077,277.000000,0.102436,0.047883,0.020040,0.211235,0.368078,0.681484
31,58,D:\data\raw_data\20220907_ID0058_C_02_N00006.png,D:\data\raw_data\20220907_ID0058_C_02_N00006.png,visible,314.000000,detected,226.902267,314.000000,0.506990,0.046147,0.440343,0.668803,0.000000,0.406205
32,67,D:\data\raw_data\20220913_ID0067_C_01_N00001.png,D:\data\raw_data\20220913_ID0067_C_01_N00001.png,partial,295.000000,manual,239.776840,336.000000,0.639218,0.120675,0.366249,0.839339,0.000000,0.346143
33,70,D:\data\raw_data\20220913_ID0070_C_02_N00033.png,D:\data\raw_data\20220913_ID0070_C_02_N00033.png,partial,282.000000,manual,234.409790,343.000000,0.655452,0.204521,0.269130,0.914952,0.000000,0.307198
34,73,D:\data\raw_data\20220913_ID0073_C_01_N00001.png,D:\data\raw_data\20220913_ID0073_C_01_N00001.png,visible,244.000000,detected,234.821724,244.000000,0.072480,0.046062,0.022547,0.233002,0.733974,0.714411
35,75,D:\data\raw_data\20220914_ID0075_C_01_N00041.png,D:\data\raw_data\20220914_ID0075_C_01_N00041.png,visible,259.000000,detected,244.385895,259.000000,0.299524,0.243692,0.058409,0.773792,0.137500,0.554088
37,80,D:\data\raw_data\20220914_ID0080_C_01_N00036.png,D:\data\raw_data\20220914_ID0080_C_01_N00036.png,visible,276.000000,detected,232.681259,276.000000,0.274313,0.074675,0.191067,0.485673,0.000000,0.583709
38,82,D:\data\raw_data\20220915_ID0082_C_02_N00018.png,D:\data\raw_data\20220915_ID0082_C_02_N00018.png,visible,245.000000,detected,232.051804,245.000000,0.104627,0.092093,-0.005400,0.333445,0.457237,0.726622
39,83,D:\data\raw_data\20220915_ID0083_C_01_N00001.png,D:\data\raw_data\20220915_ID0083_C_01_N00001.png,visible,268.000000,detected,247.385056,268.000000,0.205450,0.201530,0.024457,0.814094,0.185430,0.639866
40,86,D:\data\raw_data\20220915_ID0086_C_02_N00052.png,D:\data\raw_data\20220915_ID0086_C_02_N00052.png,visible,290.000000,detected,241.555000,290.000000,0.294386,0.060848,0.223932,0.517378,0.000000,0.555762
41,88,D:\data\raw_data\20220915_ID0088_C_02_N00273.png,D:\data\raw_data\20220915_ID0088_C_02_N00273.png,visible,257.000000,detected,240.563911,257.000000,0.145374,0.065377,0.051563,0.313859,0.187713,0.678324
42,91,D:\data\raw_data\20220916_ID0091_C_01_N00045.png,D:\data\raw_data\20220916_ID0091_C_01_N00045.png,covered,,unknown,262.014542,349.000000,0.459523,0.052343,0.374064,0.569038,0.000000,0.433926
43,93,D:\data\raw_data\20220916_ID0093_C_02_N00212.png,D:\data\raw_data\20220916_ID0093_C_02_N00212.png,partial,264.000000,manual,231.391968,296.000000,0.603439,0.213106,0.193212,0.926835,0.000000,0.335616
44,95,D:\data\raw_data\20220916_ID0095_C_02_N00065.png,D:\data\raw_data\20220916_ID0095_C_02_N00065.png,visible,263.000000,detected,240.926834,263.000000,0.136558,0.040606,0.079677,0.259402,0.035714,0.703146
45,96,D:\data\raw_data\20220919_ID0096_C_02_N00188.png,D:\data\raw_data\20220919_ID0096_C_02_N00188.png,visible,252.000000,detected,209.452301,252.000000,0.275189,0.074515,0.191340,0.517478,0.000000,0.573970
46,97,D:\data\raw_data\20220919_ID0097_C_02_N00030.png,D:\data\raw_data\20220919_ID0097_C_02_N00030.png,visible,274.000000,detected,230.991989,274.000000,0.422372,0.223829,0.174798,0.808282,0.000000,0.467569
47,98,D:\data\raw_data\20220919_ID0098_C_01_N00164.png,D:\data\raw_data\20220919_ID0098_C_01_N00164.png,visible,282.000000,detected,237.643600,282.000000,0.270384,0.069278,0.187068,0.506733,0.000000,0.574278
48,100,D:\data\raw_data\20220919_ID0100_C_02_N00078.png,D:\data\raw_data\20220919_ID0100_C_02_N00078.png,visible,229.000000,detected,245.157631,229.000000,0.023562,0.126481,-0.101233,0.335379,0.332215,0.710875
49,101,D:\data\raw_data\20220919_ID0101_C_02_N00025.png,D:\data\raw_data\20220919_ID0101_C_02_N00025.png,visible,257.000000,detected,241.686096,257.000000,0.174387,0.100863,0.070549,0.425578,0.197640,0.658888
50,104,D:\data\raw_data\20220920_ID0104_C_02_N00063.png,D:\data\raw_data\20220920_ID0104_C_02_N00063.png,visible,286.000000,detected,219.914665,286.000000,0.385222,0.078608,0.272748,0.590452,0.000000,0.523083
51,105,D:\data\raw_data\20220920_ID0105_C_02_N00267.png,D:\data\raw_data\20220920_ID0105_C_02_N00267.png,visible,259.000000,detected,241.325844,259.000000,0.181318,0.084086,0.083766,0.431979,0.000000,0.623235
52,107,D:\data\raw_data\20220920_ID0107_C_02_N00015.png,D:\data\raw_data\20220920_ID0107_C_02_N00015.png,visible,302.000000,detected,227.983200,302.000000,0.465381,0.087627,0.353820,0.691223,0.000000,0.436526
53,109,D:\data\raw_data\20220920_ID0109_C_02_N00022.png,D:\data\raw_data\20220920_ID0109_C_02_N00022.png,visible,294.000000,detected,262.679985,294.000000,0.197089,0.061557,0.133343,0.402003,0.000000,0.654674
54,110,D:\data\raw_data\20220921_ID0110_C_02_N00005.png,D:\data\raw_data\20220921_ID0110_C_02_N00005.png,visible,244.000000,detected,224.663544,244.000000,0.140916,0.068357,0.042731,0.350283,0.163690,0.662528
55,111,D:\data\raw_data\20220921_ID0111_C_02_N00041.png,D:\data\raw_data\20220921_ID0111_C_02_N00041.png,visible,290.000000,detected,252.549232,290.000000,0.259059,0.058649,0.205177,0.424703,0.000000,0.584727
56,113,D:\data\raw_data\20220921_ID0113_C_01_N00203.png,D:\data\raw_data\20220921_ID0113_C_01_N00203.png,visible,251.000000,detected,244.749054,251.000000,0.088387,0.055335,0.033831,0.244903,0.569132,0.727697
57,115,D:\data\raw_data\20220921_ID0115_C_02_N00021.png,D:\data\raw_data\20220921_ID0115_C_02_N00021.png,visible,236.000000,detected,221.550827,236.000000,0.172015,0.134441,0.056934,0.618147,0.306785,0.624137
58,116,D:\data\raw_data\20220921_ID0116_C_02_N00015.png,D:\data\raw_data\20220921_ID0116_C_02_N00015.png,visible,246.000000,detected,233.444672,246.000000,0.304677,0.343374,0.057542,1.076972,0.264026,0.551900
59,118,D:\data\raw_data\20220922_ID0118_C_01_N00014.png,D:\data\raw_data\20220922_ID0118_C_01_N00014.png,visible,304.000000,detected,238.896202,304.000000,0.492437,0.120002,0.348593,0.773951,0.000000,0.414300
60,123,D:\data\raw_data\20220922_ID0123_C_02_N00003.png,D:\data\raw_data\20220922_ID0123_C_02_N00003.png,partial,272.000000,manual,258.033295,289.000000,0.559714,0.318899,0.089324,0.928483,0.000000,0.374318
61,126,D:\data\raw_data\20220923_ID0126_C_02_N00001.png,D:\data\raw_data\20220923_ID0126_C_02_N00001.png,visible,269.000000,detected,249.863304,269.000000,0.280787,0.291719,0.092517,0.929331,0.000000,0.588149
62,127,D:\data\raw_data\20220923_ID0127_C_02_N00049.png,D:\data\raw_data\20220923_ID0127_C_02_N00049.png,visible,272.000000,detected,255.482063,272.000000,0.262900,0.154157,0.025862,0.558217,0.137681,0.578994
63,129,D:\data\raw_data\20220923_ID0129_C_01_N00001.png,D:\data\raw_data\20220923_ID0129_C_01_N00001.png,visible,300.000000,detected,269.057411,300.000000,0.270434,0.173576,0.159992,0.715390,0.000000,0.582452
64,131,D:\data\raw_data\20220923_ID0131_C_01_N00003.png,D:\data\raw_data\20220923_ID0131_C_01_N00003.png,partial,264.000000,manual,252.349060,335.000000,0.415858,0.061561,0.289302,0.525575,0.000000,0.481234
65,1011,D:\data\raw_data\20220924_ID1011_C_01_N00020.png,D:\data\raw_data\20220924_ID1011_C_01_N00020.png,covered,,unknown,245.218689,352.000000,1.062689,0.039359,0.946757,1.105703,0.000000,0.029143
66,1024,D:\data\raw_data\20220924_ID1024_C_01_N00005.png,D:\data\raw_data\20220924_ID1024_C_01_N00005.png,partial,293.000000,manual,252.607956,335.000000,0.789624,0.262152,0.236362,0.997756,0.000000,0.174708
67,1026,D:\data\raw_data\20220924_ID1026_C_01_N00018.png,D:\data\raw_data\20220924_ID1026_C_01_N00018.png,visible,311.000000,detected,251.445343,311.000000,0.425860,0.129664,0.253719,0.831410,0.000000,0.467581
68,1038,D:\data\raw_data\20220925_ID1038_C_01_N00013.png,D:\data\raw_data\20220925_ID1038_C_01_N00013.png,partial,263.000000,manual,227.568619,316.000000,0.775586,0.243424,0.209024,1.025862,0.000000,0.196149
69,132,D:\data\raw_data\20220926_ID0132_C_02_N00058.png,D:\data\raw_data\20220926_ID0132_C_02_N00058.png,visible,267.000000,detected,250.528229,267.000000,0.241280,0.219470,0.071724,0.865347,0.105960,0.588648
70,133,D:\data\raw_data\20220926_ID0133_C_01_N00011.png,D:\data\raw_data\20220926_ID0133_C_01_N00011.png,visible,287.000000,detected,264.998390,287.000000,0.390924,0.315703,0.099912,1.016662,0.000000,0.483854
71,134,D:\data\raw_data\20220926_ID0134_C_02_N00103.png,D:\data\raw_data\20220926_ID0134_C_02_N00103.png,partial,261.000000,manual,262.967659,315.000000,0.273444,0.163180,0.005757,0.507669,0.185185,0.585470
72,138,D:\data\raw_data\20220926_ID0138_C_01_N00196.png,D:\data\raw_data\20220926_ID0138_C_01_N00196.png,covered,,unknown,242.229065,345.000000,0.738975,0.133333,0.380319,0.938872,0.000000,0.250982
73,139,D:\data\raw_data\20220927_ID0139_C_02_N00006.png,D:\data\raw_data\20220927_ID0139_C_02_N00006.png,partial,282.000000,manual,203.805977,298.000000,0.519309,0.116487,0.352920,0.770225,0.000000,0.398148
74,142,D:\data\raw_data\20220927_ID0142_C_02_N00047.png,D:\data\raw_data\20220927_ID0142_C_02_N00047.png,visible,268.000000,detected,250.915871,268.000000,0.143035,0.101554,0.045160,0.469716,0.358621,0.671344
75,143,D:\data\raw_data\20220927_ID0143_C_02_N00006.png,D:\data\raw_data\20220927_ID0143_C_02_N00006.png,partial,282.000000,manual,251.240707,313.000000,0.552636,0.143896,0.213201,0.743828,0.000000,0.377119
76,147,D:\data\raw_data\20220928_ID0147_C_02_N00102.png,D:\data\raw_data\20220928_ID0147_C_02_N00102.png,partial,308.000000,manual,231.070641,323.000000,0.615075,0.213642,0.427778,1.038671,0.000000,0.323220
77,149,D:\data\raw_data\20220928_ID0149_C_01_N00001.png,D:\data\raw_data\20220928_ID0149_C_01_N00001.png,covered,,unknown,233.913620,338.000000,0.655849,0.084660,0.416296,0.804012,0.000000,0.308272
78,152,D:\data\raw_data\20220928_ID0152_C_02_N00006.png,D:\data\raw_data\20220928_ID0152_C_02_N00006.png,partial,252.000000,manual,250.635437,267.000000,0.184535,0.195182,-0.003518,0.788239,0.388350,0.647451
79,153,D:\data\raw_data\20220928_ID0153_C_01_N00033.png,D:\data\raw_data\20220928_ID0153_C_01_N00033.png,visible,291.000000,detected,255.651199,291.000000,0.286113,0.093745,0.179210,0.522686,0.000000,0.568456
80,160,D:\data\raw_data\20220929_ID0160_C_02_N00022.png,D:\data\raw_data\20220929_ID0160_C_02_N00022.png,visible,277.000000,detected,234.018112,277.000000,0.310043,0.109007,0.192220,0.609830,0.000000,0.547285
81,161,D:\data\raw_data\20220930_ID0161_C_02_N00002.png,D:\data\raw_data\20220930_ID0161_C_02_N00002.png,visible,291.000000,detected,246.334831,291.000000,0.334876,0.143332,0.195178,0.898975,0.000000,0.524174
82,164,D:\data\raw_data\20220930_ID0164_C_02_N00083.png,D:\data\raw_data\20220930_ID0164_C_02_N00083.png,visible,291.000000,detected,263.501381,291.000000,0.238021,0.094235,0.136650,0.543717,0.000000,0.596591
83,166,D:\data\raw_data\20220930_ID0166_C_01_N00159.png,D:\data\raw_data\20220930_ID0166_C_01_N00159.png,partial,248.000000,detected,227.417343,248.000000,0.385623,0.295171,0.076542,1.058076,0.068111,0.494651
84,169,D:\data\raw_data\20221004_ID0169_C_02_N00158.png,D:\data\raw_data\20221004_ID0169_C_02_N00158.png,covered,,unknown,233.876755,345.000000,0.832560,0.065646,0.688880,0.933078,0.000000,0.193133
85,172,D:\data\raw_data\20221004_ID0172_C_01_N00091.png,D:\data\raw_data\20221004_ID0172_C_01_N00091.png,visible,243.000000,detected,247.164619,243.000000,0.131045,0.203967,-0.033711,0.759206,0.591640,0.686469
86,174,D:\data\raw_data\20221004_ID0174_C_02_N00089.png,D:\data\raw_data\20221004_ID0174_C_02_N00089.png,partial,256.000000,detected,242.926353,256.000000,0.306446,0.312471,0.005850,0.964806,0.193846,0.551372
87,177,D:\data\raw_data\20221005_ID0177_C_02_N00048.png,D:\data\raw_data\20221005_ID0177_C_02_N00048.png,partial,250.000000,detected,241.443283,250.000000,0.239976,0.191605,0.025364,0.671059,0.319018,0.616516
88,178,D:\data\raw_data\20221005_ID0178_C_01_N00001.png,D:\data\raw_data\20221005_ID0178_C_01_N00001.png,visible,291.000000,detected,241.305679,291.000000,0.331807,0.077854,0.266192,0.619637,0.000000,0.522604
89,180,D:\data\raw_data\20221005_ID0180_C_02_N00025.png,D:\data\raw_data\20221005_ID0180_C_02_N00025.png,covered,,unknown,245.637856,337.000000,0.503217,0.048548,0.398981,0.569092,0.000000,0.409877
90,181,D:\data\raw_data\20221005_ID0181_C_02_N00079.png,D:\data\raw_data\20221005_ID0181_C_02_N00079.png,visible,240.000000,detected,239.575500,240.000000,0.086574,0.085127,-0.008736,0.335050,0.556604,0.687031
91,182,D:\data\raw_data\20221005_ID0182_C_02_N00004.png,D:\data\raw_data\20221005_ID0182_C_02_N00004.png,partial,292.000000,detected,257.347305,292.000000,0.533638,0.292213,0.184679,0.995680,0.000000,0.386028
92,183,D:\data\raw_data\20221006_ID0183_C_01_N00016.png,D:\data\raw_data\20221006_ID0183_C_01_N00016.png,visible,257.000000,detected,232.092575,257.000000,0.163816,0.046630,0.122439,0.330891,0.000000,0.657260
93,184,D:\data\raw_data\20221006_ID0184_C_02_N00023.png,D:\data\raw_data\20221006_ID0184_C_02_N00023.png,visible,304.000000,detected,239.894691,304.000000,0.393310,0.080850,0.311247,0.658196,0.000000,0.498534
94,185,D:\data\raw_data\20221006_ID0185_C_02_N00032.png,D:\data\raw_data\20221006_ID0185_C_02_N00032.png,visible,252.000000,detected,224.602936,252.000000,0.268451,0.157026,0.125318,0.859108,0.000000,0.575773
95,187,D:\data\raw_data\20221006_ID0187_C_01_N00172.png,D:\data\raw_data\20221006_ID0187_C_01_N00172.png,visible,269.000000,detected,228.776505,269.000000,0.323914,0.118297,0.203588,0.673952,0.000000,0.529630
96,1043,D:\data\raw_data\20221006_ID1043_C_01_N00002.png,D:\data\raw_data\20221006_ID1043_C_01_N00002.png,covered,,unknown,250.893982,348.000000,0.607080,0.078468,0.411209,0.741857,0.000000,0.326207
97,1044,D:\data\raw_data\20221006_ID1044_C_01_N00003.png,D:\data\raw_data\20221006_ID1044_C_01_N00003.png,covered,,unknown,244.119080,341.000000,0.844807,0.135967,0.626749,1.003172,0.000000,0.129780
98,1046,D:\data\raw_data\20221006_ID1046_C_03_N00021.png,D:\data\raw_data\20221006_ID1046_C_03_N00021.png,covered,,unknown,249.079033,343.000000,0.979317,0.102904,0.764210,1.064409,0.000000,0.061823
99,1047,D:\data\raw_data\20221006_ID1047_C_01_N00202.png,D:\data\raw_data\20221006_ID1047_C_01_N00202.png,visible,310.000000,detected,236.333168,310.000000,0.459426,0.071370,0.373275,0.682191,0.000000,0.440392
100,195,D:\data\raw_data\20221007_ID0195_C_02_N00047.png,D:\data\raw_data\20221007_ID0195_C_02_N00047.png,visible,293.000000,detected,245.168015,293.000000,0.323315,0.098083,0.211744,0.581144,0.000000,0.533330
101,196,D:\data\raw_data\20221007_ID0196_C_02_N00001.png,D:\data\raw_data\20221007_ID0196_C_02_N00001.png,visible,291.000000,detected,253.204857,291.000000,0.317764,0.104015,0.198552,0.580876,0.000000,0.542120
102,198,D:\data\raw_data\20221007_ID0198_C_02_N00065.png,D:\data\raw_data\20221007_ID0198_C_02_N00065.png,visible,250.000000,detected,228.234062,250.000000,0.435634,0.353134,0.083719,1.060775,0.000000,0.458082
103,1048,D:\data\raw_data\20221007_ID1048_C_02_N00017.png,D:\data\raw_data\20221007_ID1048_C_02_N00017.png,covered,,unknown,231.488121,320.000000,0.530485,0.099563,0.265308,0.704702,0.000000,0.390515
104,1050,D:\data\raw_data\20221007_ID1050_C_01_N00001.png,D:\data\raw_data\20221007_ID1050_C_01_N00001.png,covered,,unknown,243.412361,354.000000,0.833034,0.088379,0.610775,1.006163,0.000000,0.197202
105,200,D:\data\raw_data\20221011_ID0200_C_02_N00069.png,D:\data\raw_data\20221011_ID0200_C_02_N00069.png,visible,267.000000,detected,237.182137,267.000000,0.271494,0.129545,0.149511,0.740722,0.000000,0.580771
106,203,D:\data\raw_data\20221011_ID0203_C_01_N00002.png,D:\data\raw_data\20221011_ID0203_C_01_N00002.png,covered,,unknown,241.993301,352.000000,0.740777,0.087997,0.560061,1.023918,0.000000,0.271759
107,204,D:\data\raw_data\20221011_ID0204_C_02_N00001.png,D:\data\raw_data\20221011_ID0204_C_02_N00001.png,partial,286.000000,detected,234.083481,286.000000,0.447240,0.190519,0.255491,0.867557,0.000000,0.447367
108,207,D:\data\raw_data\20221011_ID0207_C_02_N00070.png,D:\data\raw_data\20221011_ID0207_C_02_N00070.png,partial,286.000000,detected,239.050156,286.000000,0.350323,0.170379,0.209600,0.823068,0.000000,0.516414
109,208,D:\data\raw_data\20221011_ID0208_C_02_N00027.png,D:\data\raw_data\20221011_ID0208_C_02_N00027.png,partial,280.000000,detected,250.109894,280.000000,0.438882,0.214364,0.130479,0.825910,0.000000,0.452954
110,1053,D:\data\raw_data\20221011_ID1053_C_01_N00003.png,D:\data\raw_data\20221011_ID1053_C_01_N00003.png,visible,269.000000,detected,256.312500,269.000000,0.161574,0.108695,0.065771,0.470946,0.191638,0.669423
111,1054,D:\data\raw_data\20221011_ID1054_C_01_N00007.png,D:\data\raw_data\20221011_ID1054_C_01_N00007.png,partial,270.000000,manual,238.046494,294.000000,0.395282,0.181492,0.152005,0.692752,0.000000,0.502154
112,1055,D:\data\raw_data\20221011_ID1055_C_01_N00004.png,D:\data\raw_data\20221011_ID1055_C_01_N00004.png,visible,240.000000,detected,237.702560,240.000000,0.082418,0.097862,-0.062975,0.254314,0.442308,0.730054
113,209,D:\data\raw_data\20221012_ID0209_C_01_N00024.png,D:\data\raw_data\20221012_ID0209_C_01_N00024.png,visible,292.000000,detected,255.792885,292.000000,0.250039,0.079209,0.177133,0.518121,0.000000,0.597311
114,210,D:\data\raw_data\20221012_ID0210_C_01_N00001.png,D:\data\raw_data\20221012_ID0210_C_01_N00001.png,partial,245.000000,manual,249.606094,274.000000,0.301677,0.278794,-0.031948,0.868465,0.275000,0.549044
115,212,D:\data\raw_data\20221012_ID0212_C_02_N00081.png,D:\data\raw_data\20221012_ID0212_C_02_N00081.png,partial,256.000000,detected,268.030037,256.000000,0.144931,0.280548,-0.090778,0.881622,0.505618,0.658675
116,213,D:\data\raw_data\20221012_ID0213_C_02_N00012.png,D:\data\raw_data\20221012_ID0213_C_02_N00012.png,partial,279.000000,detected,265.699982,279.000000,0.117166,0.131415,-0.046695,0.571861,0.337931,0.664363
117,214,D:\data\raw_data\20221012_ID0214_C_02_N00001.png,D:\data\raw_data\20221012_ID0214_C_02_N00001.png,visible,276.000000,detected,236.133507,276.000000,0.300942,0.096280,0.182751,0.528108,0.000000,0.557733
118,216,D:\data\raw_data\20221012_ID0216_C_02_N00031.png,D:\data\raw_data\20221012_ID0216_C_02_N00031.png,visible,269.000000,detected,237.980957,269.000000,0.403009,0.174869,0.144839,0.833746,0.000000,0.475924
120,224,D:\data\raw_data\20221013_ID0224_C_02_N00045.png,D:\data\raw_data\20221013_ID0224_C_02_N00045.png,visible,267.000000,detected,238.451714,267.000000,0.355666,0.266191,0.143369,1.114193,0.000000,0.508154
121,225,D:\data\raw_data\20221013_ID0225_C_02_N00058.png,D:\data\raw_data\20221013_ID0225_C_02_N00058.png,covered,,unknown,300.172203,381.000000,0.745361,0.186483,0.423844,1.029979,0.000000,0.255129
122,1058,D:\data\raw_data\20221013_ID1058_C_01_N00441.png,D:\data\raw_data\20221013_ID1058_C_01_N00441.png,visible,193.000000,detected,218.009270,193.000000,-0.015441,0.112672,-0.133877,0.277529,0.373832,0.814364
123,1059,D:\data\raw_data\20221013_ID1059_C_04_N00173.png,D:\data\raw_data\20221013_ID1059_C_04_N00173.png,visible,289.000000,detected,241.710281,289.000000,0.322277,0.080988,0.243849,0.548081,0.000000,0.556555
124,1061,D:\data\raw_data\20221013_ID1061_C_01_N00106.png,D:\data\raw_data\20221013_ID1061_C_01_N00106.png,visible,265.000000,detected,237.562469,265.000000,0.247678,0.132401,0.088341,0.574693,0.000000,0.617359
